Date,SPY,QQQ,GLD,Equal Weight Portfolio
2021-09-15,0.0962732402312256,0.10000156573520817,0.13277412986128245,0.080804121591899
2021-09-16,0.09637688889155448,0.09747429617811115,0.12603780793769415,0.08147482405559729
2021-09-17,0.0943576409430482,0.09933857367019713,0.12559574561382056,0.08090862813566421
2021-09-20,0.09696977425866168,0.10821570766130739,0.12396369827413944,0.08111895199006199
2021-09-21,0.09652262071883658,0.10688712863750739,0.12443077752872776,0.0809747587176441
2021-09-22,0.09822857839336098,0.1082177334909574,0.1246497435897863,0.08148875117964044
2021-09-23,0.1003595165175349,0.10897803030969,0.12675494054376574,0.08140490193875734
2021-09-24,0.10021414117289457,0.10887950017775463,0.12656867515428769,0.08135854300000432
2021-09-27,0.10042860801737845,0.10800394798765175,0.12665663418250397,0.081186495951109
2021-09-28,0.10868642072591198,0.12247646674210669,0.12640657081839485,0.0901957109975529
2021-09-29,0.10871663195752186,0.1224802951101189,0.12625986624929106,0.09021393574081274
2021-09-30,0.11102333365006874,0.12273257668478865,0.1312974562180523,0.09000927559315113
2021-10-01,0.11251965617444559,0.12120557284062504,0.13068343923365786,0.08939122603231717
2021-10-04,0.11542856319498186,0.12801492306850024,0.13063898785422712,0.0913276919535851
2021-10-05,0.11710898962484513,0.13087637175589525,0.13067280096061037,0.09204520589444762
2021-10-06,0.11619950767201306,0.1309505470800181,0.13081214306933367,0.0919650625819982
2021-10-07,0.11552656884901784,0.1316397704950757,0.13097131529567374,0.09134167416428014
2021-10-08,0.11538741011896876,0.1318064057454171,0.13097269227861078,0.09133227205450618
2021-10-11,0.11611369068140741,0.13269514316971165,0.13095753248732628,0.09198486910703667
2021-10-12,0.1161825496126792,0.13280510022791167,0.1293681799318787,0.09145314899787212
2021-10-13,0.11619574200551087,0.13307265724376977,0.134479121709691,0.09340112307512474
2021-10-14,0.1197644781756878,0.136998362467209,0.1332120011975322,0.09512585437295726
2021-10-15,0.11650061670653901,0.13634669749038786,0.1368722155744612,0.09390775167133891
2021-10-18,0.11332525962245307,0.1358728696654486,0.13692525030803893,0.09277741706749298
2021-10-19,0.11322596430691172,0.1358408558858743,0.13694168697800335,0.09322229096451663
2021-10-20,0.1133800982167605,0.13535157588603333,0.1380653569584682,0.09325745378675027
2021-10-21,0.11176447047542432,0.1339376483730576,0.13794257047284653,0.09259527768208245
2021-10-22,0.11174203880674724,0.135096596187168,0.13842670057710302,0.09263734115959334
2021-10-25,0.11167670593576412,0.1345507623315174,0.13907977097426366,0.09320640491121049
2021-10-26,0.11165629885187957,0.13449065217570247,0.1395017194017663,0.09313300165719911
2021-10-27,0.11189228978313123,0.1345140836568959,0.137749721780939,0.09251317072642885
2021-10-28,0.11280232308815061,0.13558903012680815,0.13687238686155614,0.09252221869340554
2021-10-29,0.11267666920890593,0.13581720435949235,0.13788088365201528,0.09248951141723678
2021-11-01,0.1117155027077681,0.13551655565321274,0.13830865259743289,0.09233066883253682
2021-11-02,0.11130726253950961,0.13566989141818372,0.13836397613234017,0.092322920633129
2021-11-03,0.11126286067898886,0.13662401960772766,0.13911982589716576,0.09231216944008219
2021-11-04,0.11151729939909427,0.13817498281710508,0.13163883471802812,0.0918871578589506
